Time,FZ,C3,CZ,C4
1216096.239083,304924.5625,312347.6875,318318.90625,299596.4375
1216096.2391305,304882.90625,312541.78125,318334.09375,299404.59375
1216096.2408445,305197.25,312441.5625,318597.84375,299913.03125
1216096.2495168,305409.96875,312166.34375,318700.75,300374.65625
1216096.2539696,305230.34375,312099.03125,318506.21875,300159.28125
1216096.2540144,304910.1875,312342.5,318300.5625,299579.1875
1216096.2622465,304876.8125,312539.1875,318321.03125,299385.71875
1216096.2664856,305204.0625,312447.375,318592.3125,299899.4375
1216096.2665309,305417.5625,312166.34375,318695.9375,300363.28125
1216096.2744749,305237.03125,312097.0625,318505.59375,300152.375
1216096.2813708,304923.0625,312353.3125,318312.5625,299586.0
1216096.2814171,304870.21875,312537.40625,318320.25,299385.34375
1216096.283189,305189.75,312442.8125,318586.9375,299898.65625
1216096.2857395,305411.9375,312169.75,318696.0,300368.125
1216096.2944866,305229.09375,312093.21875,318502.375,300154.78125
1216096.297586,304907.40625,312340.25,318302.34375,299581.875
1216096.2976239,304866.46875,312535.59375,318322.28125,299390.46875
1216096.3033564,305196.71875,312448.34375,318595.0,299910.0
1216096.3100197,305413.4375,312165.0,318697.0,300374.28125
1216096.3100397,305229.53125,312080.78125,318496.625,300159.1875
1216096.3294997,304915.71875,312330.40625,318301.09375,299592.59375
1216096.3295314,304872.25,312519.96875,318316.40625,299395.09375
1216096.3295394,305197.53125,312428.6875,318587.28125,299908.9375
1216096.3320147,305418.09375,312157.40625,318698.0625,300379.65625
1216096.3350684,305241.15625,312090.71875,318508.0,300170.96875
1216096.3351031,304923.5,312340.78125,318308.34375,299596.8125
1216096.3370182,304883.71875,312540.25,318328.90625,299401.53125
1216096.3395401,305196.625,312439.40625,318589.8125,299903.90625
1216096.3482883,305411.375,312158.03125,318693.25,300366.875
1216096.3526093,305233.90625,312085.4375,318501.90625,300158.0
1216096.3526451,304923.5,312340.875,318311.46875,299595.1875
1216096.3583022,304884.875,312542.75,318331.875,299400.5625
1216096.3676701,305207.0,312452.375,318601.5,299912.6875
1216096.3677207,305421.21875,312172.34375,318706.03125,300377.40625
1216096.3695827,305236.78125,312092.3125,318510.59375,300162.84375
1216096.3810867,304919.46875,312340.78125,318308.53125,299590.8125
1216096.3840327,304881.28125,312540.25,318328.03125,299398.15625
1216096.3841371,305204.78125,312449.34375,318600.15625,299915.09375
1216096.3859671,305417.46875,312168.3125,318702.28125,300381.96875
1216096.3883733,305243.40625,312097.875,318513.1875,300178.65625
1216096.3972119,304929.5,312346.34375,318318.1875,299612.71875
1216096.4039651,304890.6875,312545.875,318341.53125,299422.09375
1216096.4040094,305213.4375,312459.0,318611.96875,299936.375
1216096.4058972,305423.5625,312178.78125,318712.09375,300398.59375
1216096.4202357,305236.0625,312097.25,318510.40625,300180.625
1216096.4202809,304916.53125,312348.46875,318313.34375,299608.96875
1216096.4222494,304876.28125,312547.0625,318331.6875,299412.09375
1216096.4246138,305204.40625,312461.65625,318604.65625,299926.28125
1216096.4271352,305421.3125,312182.0,318710.6875,300391.28125
1216096.435821,305236.78125,312101.28125,318516.3125,300176.625
1216096.4390729,304920.8125,312352.21875,318319.625,299606.90625
1216096.4391183,304881.21875,312552.875,318337.5,299409.15625
1216096.4446199,305198.59375,312459.25,318601.4375,299915.1875
1216096.4538901,305417.65625,312183.25,318708.96875,300385.09375
1216096.45394,305240.09375,312109.03125,318518.53125,300178.5625
1216096.4564677,304919.46875,312354.03125,318318.28125,299605.21875
1216096.4565129,304879.15625,312555.0,318338.375,299407.96875
1216096.4647646,305209.875,312472.9375,318614.5625,299923.84375
1216096.4689435,305427.9375,312196.125,318724.28125,300394.5
1216096.4689865,305237.5,312104.03125,318520.25,300175.53125
1216096.4708935,304922.34375,312351.0625,318317.46875,299601.71875
1216096.4821701,304882.5625,312547.9375,318333.125,299402.53125
1216096.5072647,305205.3125,312455.3125,318601.34375,299912.9375
1216096.5095864,305423.90625,312178.875,318710.3125,300387.15625
1216096.5121354,305248.21875,312107.625,318521.84375,300182.4375
1216096.5145762,304929.03125,312356.25,318321.9375,299610.03125
1216096.5172048,304888.8125,312557.0625,318340.25,299411.71875
1216096.5196066,305211.9375,312472.03125,318611.53125,299920.28125
1216096.5221381,305420.25,312183.15625,318709.4375,300379.75
1216096.5246085,305237.125,312097.34375,318507.625,300166.15625
1216096.5271803,304922.78125,312346.5,318309.0625,299595.90625
1216096.5295991,304885.125,312550.96875,318334.09375,299401.09375
1216096.5327043,305203.0625,312460.3125,318601.25,299907.59375
1216096.5327484,305419.96875,312181.375,318709.59375,300379.375
1216096.5346251,305246.0,312108.0625,318520.78125,300176.25
1216096.5403208,304926.34375,312355.28125,318320.6875,299602.875
1216096.5403727,304883.875,312555.90625,318339.0,299402.875
1216096.5420883,305203.34375,312466.84375,318606.0625,299909.375
1216096.5458535,305417.75,312185.3125,318708.96875,300379.125
1216096.5601629,305238.84375,312102.6875,318511.75,300169.28125
1216096.5602046,304925.03125,312351.34375,318316.03125,299602.4375
1216096.5670117,304886.3125,312549.65625,318334.375,299400.03125
1216096.5670659,305214.6875,312466.5,318610.625,299910.625
1216096.5670827,305443.40625,312193.1875,318728.46875,300391.8125
1216096.5714819,305265.75,312112.96875,318537.9375,300191.28125
1216096.5715263,304937.1875,312351.96875,318328.28125,299613.875
1216096.5733477,304897.84375,312559.46875,318347.40625,299416.75
1216096.5883941,305216.84375,312471.15625,318614.21875,299921.4375
1216096.5959158,305427.125,312186.21875,318715.6875,300385.375
1216096.5959618,305254.125,312110.125,318523.46875,300183.3125
1216096.5959817,304939.15625,312355.1875,318320.15625,299611.375
1216096.598987,304898.46875,312555.0,318335.625,299406.625
1216096.5990319,305218.09375,312467.9375,318604.71875,299912.3125
1216096.6121475,305438.21875,312191.125,318716.9375,300387.78125
1216096.6164774,305251.875,312101.71875,318516.9375,300178.9375
1216096.6165221,304933.59375,312350.53125,318317.09375,299609.59375
1216096.622796,304888.1875,312552.9375,318332.03125,299404.125
1216096.6228401,305207.53125,312465.15625,318601.78125,299910.28125
1216096.6339671,305429.375,312186.46875,318715.59375,300387.625
1216096.6340116,305248.03125,312101.53125,318521.75,300181.4375
1216096.6402154,304931.375,312350.34375,318322.90625,299612.90625
1216096.6402591,304885.0625,312548.65625,318334.53125,299403.40625
1216096.6463967,305202.09375,312459.4375,318601.34375,299903.21875
1216096.6464407,305423.46875,312177.71875,318710.84375,300377.78125
1216096.6553459,305251.8125,312096.625,318521.40625,300181.34375
1216096.655391,304931.53125,312335.78125,318315.15625,299608.6875
1216096.6577341,304887.90625,312536.15625,318329.8125,299402.34375
1216096.6577864,305209.34375,312451.125,318598.84375,299907.5
1216096.6714145,305433.5625,312178.59375,318713.625,300385.375
1216096.6714585,305256.71875,312097.78125,318521.6875,300185.375
1216096.673345,304936.8125,312345.34375,318319.625,299613.4375
1216096.6772487,304892.90625,312550.8125,318335.625,299405.9375
1216096.6902164,305210.125,312462.90625,318599.71875,299904.375
1216096.6902606,305425.34375,312179.0625,318704.6875,300375.09375
1216096.692692,305252.34375,312102.25,318514.53125,300176.875
1216096.692736,304935.5625,312348.46875,318311.21875,299604.3125
1216096.6945975,304882.0,312544.5625,318317.46875,299389.5625
1216096.7035194,305196.625,312458.0,318584.4375,299892.28125
1216096.7076924,305415.40625,312173.0625,318692.34375,300366.59375
1216096.7077361,305241.78125,312089.46875,318500.21875,300167.03125
1216096.7108981,304929.9375,312342.3125,318306.03125,299605.21875
1216096.7246438,304879.34375,312539.28125,318319.875,299398.875
1216096.7277779,305189.9375,312446.90625,318582.1875,299898.5625
1216096.7278226,305403.625,312163.9375,318688.40625,300369.5625
1216096.7296448,305231.5,312085.8125,318499.9375,300174.1875
1216096.7333992,304915.0,312332.46875,318301.71875,299605.125
1216096.7477523,304872.4375,312536.0625,318317.28125,299395.90625
1216096.7477997,305194.125,312450.84375,318586.21875,299897.40625
1216096.7497032,305422.375,312178.4375,318703.34375,300378.59375
1216096.7527314,305253.0625,312103.40625,318518.53125,300187.15625
1216096.7527753,304930.90625,312346.15625,318313.09375,299610.03125
1216096.7546375,304883.71875,312550.8125,318329.1875,299401.53125
1216096.7633759,305196.0,312459.15625,318592.40625,299899.09375
1216096.7659993,305419.0,312179.3125,318704.96875,300376.4375
1216096.769597,305246.4375,312096.875,318517.1875,300182.0625
1216096.7789592,304926.625,312344.375,318315.59375,299614.34375
1216096.7790046,304875.5625,312544.09375,318325.34375,299403.78125
1216096.7808451,305192.0,312457.375,318589.1875,299900.625
1216096.7934433,305416.125,312178.25,318700.5625,300376.96875
1216096.7964836,305249.84375,312097.15625,318513.625,300181.625
1216096.7965281,304931.71875,312340.25,318312.90625,299608.78125
1216096.7983472,304883.625,312545.625,318324.96875,299398.0625
1216096.8046435,305191.34375,312455.125,318581.9375,299890.96875
1216096.809151,305408.53125,312173.6875,318690.46875,300367.59375
1216096.8092015,305232.40625,312086.59375,318497.875,300170.4375
1216096.8146252,304918.40625,312333.53125,318298.96875,299602.96875
1216096.823967,304873.78125,312541.5,318313.25,299393.6875
1216096.8240118,305191.34375,312455.125,318576.125,299891.5
1216096.8258365,305415.6875,312175.21875,318689.3125,300367.6875
1216096.8322505,305245.90625,312095.53125,318506.46875,300175.8125
1216096.8364835,304922.34375,312338.46875,318305.9375,299600.28125
1216096.8365276,304871.625,312543.46875,318318.71875,299390.90625
1216096.8445994,305188.0625,312459.0625,318583.90625,299890.5
1216096.8477393,305414.34375,312180.125,318696.8125,300369.09375
1216096.847784,305241.59375,312094.03125,318507.71875,300176.0
1216096.8559905,304925.46875,312342.3125,318309.96875,299608.15625
1216096.8583877,304883.4375,312556.15625,318330.34375,299402.25
1216096.8621503,305196.8125,312468.375,318592.75,299897.125
1216096.8714901,305421.21875,312189.96875,318705.40625,300374.75
1216096.8715341,305251.8125,312108.5,318519.15625,300185.375
1216096.8734639,304922.0625,312345.15625,318310.40625,299608.6875
1216096.8846173,304870.375,312549.65625,318322.75,299395.28125
1216096.8876653,305188.9375,312469.625,318591.3125,299896.78125
1216096.8877101,305406.5625,312182.4375,318696.65625,300373.75
1216096.8933525,305236.25,312094.65625,318505.03125,300178.75
1216096.896612,304921.96875,312341.5,318302.8125,299606.0
1216096.8966592,304877.53125,312548.5625,318317.09375,299392.96875
1216096.902109,305199.59375,312466.21875,318588.625,299895.96875
1216096.9090607,305427.125,312188.53125,318706.125,300378.21875
1216096.9091156,305245.53125,312091.0625,318507.71875,300178.65625
1216096.9108913,304921.96875,312332.5625,318302.625,299605.5625
1216096.9195639,304867.625,312536.78125,318312.46875,299390.625
1216096.922137,305181.625,312453.8125,318580.84375,299889.25
1216096.9258678,305404.40625,312174.84375,318696.0,300370.625
1216096.9402423,305238.3125,312097.0625,318511.5625,300182.25
1216096.9402868,304923.21875,312348.9375,318314.875,299616.5625
1216096.9423123,304877.1875,312560.8125,318329.625,299405.5625
1216096.9452351,305196.53125,312482.15625,318597.21875,299901.59375
1216096.9452788,305417.75,312198.625,318705.75,300375.625
1216096.9471324,305247.78125,312111.1875,318517.8125,300183.84375
1216096.9614371,304930.8125,312353.40625,318318.4375,299615.9375
1216096.961481,304883.4375,312557.0625,318332.5625,299403.40625
1216096.9703723,305201.65625,312476.78125,318600.8125,299900.25
1216096.9704181,305432.9375,312202.5625,318722.125,300385.1875
1216096.9727352,305260.28125,312111.09375,318531.40625,300192.78125
1216096.9727795,304938.25,312347.5,318326.21875,299621.03125
1216096.9808991,304876.90625,312542.03125,318328.09375,299398.40625
1216096.9839476,305183.21875,312450.21875,318584.78125,299885.21875
1216096.9839915,305410.3125,312167.15625,318698.15625,300365.53125
1216096.9896097,305240.625,312080.78125,318507.8125,300175.53125
1216096.9959107,304925.28125,312328.0,318307.375,299605.5625
1216096.9984103,304875.65625,312533.5625,318318.71875,299388.03125
1216097.0046035,305197.34375,312454.5,318583.375,299882.09375
1216097.0090167,305429.71875,312180.40625,318700.84375,300366.15625
1216097.0090739,305271.90625,312104.5,318526.21875,300192.53125
1216097.0196543,304945.21875,312342.03125,318319.15625,299621.65625
1216097.0227501,304877.71875,312537.9375,318315.84375,299391.15625
1216097.0227957,305187.96875,312455.84375,318581.03125,299885.59375
1216097.0246416,305413.53125,312180.5625,318698.25,300371.78125
1216097.0310184,305247.875,312099.5625,318514.0625,300187.4375
1216097.0427007,304929.5,312345.875,318314.0625,299617.71875
1216097.0427444,304880.5,312556.875,318327.65625,299399.65625
1216097.045252,305205.75,312484.09375,318597.84375,299893.90625
1216097.0452982,305435.71875,312200.6875,318714.78125,300377.40625
1216097.0533992,305277.375,312117.4375,318534.8125,300200.75
1216097.0578519,304945.03125,312345.625,318319.53125,299621.21875
1216097.0578981,304879.40625,312537.84375,318318.1875,299391.71875
1216097.0684077,305198.59375,312456.21875,318586.125,299886.5625
1216097.0714933,305432.3125,312175.28125,318702.90625,300369.5625
1216097.0715373,305256.09375,312074.09375,318506.375,300174.8125
1216097.0733485,304934.65625,312315.21875,318301.65625,299605.375
1216097.0828134,304889.78125,312532.9375,318318.71875,299395.09375
1216097.0828617,305198.4375,312449.15625,318578.8125,299882.71875
1216097.084652,305421.03125,312165.28125,318693.0625,300363.84375
1216097.093228,305259.5,312084.71875,318511.375,300184.21875
1216097.102748,304941.09375,312336.0625,318311.75,299618.96875
1216097.1027934,304884.78125,312541.0625,318319.96875,299396.09375
1216097.1053052,305200.65625,312463.625,318584.875,299888.375
1216097.1053501,305430.4375,312187.8125,318702.71875,300374.5625
1216097.1071399,305267.53125,312104.65625,318522.125,300196.46875
1216097.115893,304956.21875,312357.78125,318327.5625,299635.96875
1216097.1189869,304898.71875,312560.90625,318337.84375,299413.96875
1216097.1190313,305199.5,312467.03125,318592.21875,299892.21875
1216097.1472523,305434.46875,312192.46875,318712.375,300380.90625
1216097.1496794,305269.0625,312102.59375,318524.53125,300197.875
1216097.1521636,304953.625,312351.59375,318328.09375,299631.5
1216097.1546515,304901.9375,312566.4375,318342.59375,299410.9375
1216097.1572489,305216.21875,312485.375,318606.59375,299901.3125
1216097.1596153,305440.71875,312201.21875,318720.6875,300384.75
1216097.1621349,305274.875,312111.1875,318537.125,300201.8125
1216097.1646714,304959.4375,312356.53125,318336.15625,299637.03125
1216097.1672504,304890.15625,312547.9375,318327.21875,299399.65625
1216097.1696653,305197.875,312459.6875,318583.71875,299883.0
1216097.1721591,305428.1875,312179.78125,318701.46875,300369.375
1216097.1752368,305267.90625,312097.0625,318521.3125,300193.15625
1216097.1752811,304947.1875,312338.46875,318315.59375,299622.65625
1216097.1772093,304884.4375,312540.34375,318317.65625,299393.3125
1216097.1839386,305198.25,312461.40625,318583.4375,299884.78125
1216097.1839807,305432.59375,312183.625,318706.3125,300378.03125
1216097.192216,305260.84375,312083.84375,318516.125,300190.03125
1216097.1952431,304930.75,312319.40625,318305.21875,299611.75
1216097.1952883,304870.21875,312531.3125,318312.375,299386.96875
1216097.2007977,305184.90625,312456.3125,318578.09375,299877.09375
1216097.2096103,305420.875,312183.0625,318701.8125,300367.59375
1216097.2127413,305260.5625,312094.28125,318519.71875,300190.46875
1216097.2127859,304942.53125,312338.1875,318317.5625,299622.28125
1216097.2183452,304883.96875,312548.40625,318325.78125,299396.96875
1216097.2228063,305197.09375,312472.75,318589.625,299887.03125
1216097.2228522,305429.0,312196.21875,318712.03125,300381.0
1216097.2333975,305267.71875,312102.875,318527.21875,300204.15625
1216097.2364905,304942.4375,312328.625,318314.6875,299625.96875
1216097.2365873,304885.3125,312531.75,318322.21875,299399.65625
1216097.244643,305207.625,312464.96875,318594.625,299894.34375
1216097.2491049,305433.375,312184.0625,318707.28125,300375.90625
1216097.2491487,305263.5,312089.1875,318516.3125,300190.5625
1216097.2602372,304951.40625,312340.96875,318320.5,299630.4375
1216097.260281,304896.0625,312554.65625,318331.25,299410.84375
1216097.2620988,305196.90625,312462.375,318583.90625,299887.65625
1216097.2659517,305428.90625,312181.46875,318701.8125,300375.4375
1216097.2754596,305266.375,312088.65625,318517.1875,300197.4375
1216097.2755087,304946.28125,312328.1875,318316.46875,299631.3125
1216097.2770274,304882.8125,312531.84375,318317.75,299399.03125
1216097.2807231,305191.90625,312453.625,318577.71875,299880.0625
1216097.2895428,305418.53125,312173.15625,318696.1875,300367.9375
1216097.2938579,305254.75,312082.75,318514.59375,300194.9375
1216097.2938945,304940.84375,312329.78125,318316.46875,299631.5
1216097.2959255,304875.03125,312535.15625,318317.375,299397.6875
1216097.3093308,305187.0625,312461.40625,318584.53125,299883.90625
1216097.3176314,305419.78125,312181.71875,318707.5625,300373.9375
1216097.3176636,305259.5,312087.6875,318525.25,300198.59375
1216097.3195397,304935.75,312322.625,318317.8125,299626.84375
1216097.3220087,304879.40625,312533.46875,318323.1875,299400.375
1216097.324564,305190.46875,312460.59375,318587.5625,299887.03125
1216097.3270444,305430.4375,312191.3125,318719.25,300386.4375
1216097.3307501,305261.8125,312092.15625,318528.8125,300200.75
1216097.3425743,304936.625,312326.84375,318317.28125,299624.6875
1216097.3426029,304882.625,312543.90625,318326.3125,299397.15625
1216097.3451112,305194.65625,312469.90625,318588.28125,299878.96875
1216097.3451436,305429.71875,312191.65625,318710.21875,300370.71875
1216097.350748,305266.8125,312095.0,318525.15625,300194.9375
1216097.3576328,304947.90625,312333.90625,318320.59375,299627.46875
1216097.3576687,304886.9375,312543.21875,318326.21875,299399.75
1216097.3595161,305198.25,312467.21875,318589.34375,299886.9375
1216097.3632974,305429.28125,312187.1875,318707.5625,300377.0625
1216097.3776351,305261.28125,312085.875,318519.34375,300198.34375
1216097.3776666,304941.375,312326.40625,318319.625,299632.65625
1216097.3795392,304880.3125,312537.40625,318324.96875,299400.125
1216097.3820656,305190.5625,312458.34375,318585.96875,299881.5625
1216097.385772,305430.6875,312184.25,318716.3125,300385.1875
1216097.3945059,305258.9375,312080.25,318525.875,300206.90625
1216097.3976194,304935.125,312315.40625,318319.6875,299636.5
1216097.3976549,304876.46875,312529.53125,318325.59375,299406.625
1216097.3995649,305188.125,312457.65625,318591.40625,299891.21875
1216097.4171225,305425.15625,312187.09375,318722.75,300391.1875
1216097.4208357,305262.875,312091.4375,318540.4375,300217.28125
1216097.4208809,304940.75,312326.5625,318331.25,299642.75
1216097.4208934,304883.09375,312543.84375,318336.78125,299410.46875
1216097.4241062,305201.5625,312481.15625,318606.53125,299898.09375
1216097.4241549,305432.65625,312199.625,318725.6875,300386.8125
1216097.4258699,305267.90625,312097.6875,318535.53125,300208.25
1216097.4396472,304947.0,312335.59375,318329.4375,299639.71875
1216097.4496503,304886.75,312548.125,318332.75,299406.46875
1216097.449693,305195.75,312473.03125,318595.0625,299886.5
1216097.4497046,305429.53125,312195.15625,318718.28125,300380.90625
1216097.4540967,305261.90625,312092.0625,318529.375,300204.3125
1216097.4541425,304937.71875,312328.0,318321.9375,299634.4375
1216097.4558433,304875.46875,312542.5,318328.90625,299402.71875
1216097.4696779,305189.40625,312471.5,318596.15625,299886.65625
1216097.4746473,305430.6875,312195.59375,318723.90625,300386.375
1216097.474698,305271.46875,312097.6875,318538.75,300212.90625
1216097.474712,304948.875,312331.84375,318329.71875,299641.96875
1216097.4778484,304889.78125,312544.375,318333.46875,299410.46875
1216097.4778944,305191.71875,312460.3125,318585.6875,299882.375
1216097.4958842,305428.1875,312184.5,318710.3125,300379.9375
1216097.4996211,305269.15625,312088.75,318528.5625,300212.1875
1216097.4996679,304943.15625,312323.1875,318317.5625,299639.09375
1216097.4996798,304872.8125,312530.25,318316.46875,299395.46875
1216097.5021671,305188.6875,312466.5,318587.84375,299880.75
1216097.504789,305433.375,312199.4375,318723.28125,300384.46875
1216097.5108912,305263.5,312093.3125,318529.625,300202.375
1216097.5203691,304941.8125,312330.6875,318319.53125,299629.25
1216097.5204133,304887.46875,312553.3125,318328.90625,299398.3125
1216097.5282894,305200.03125,312483.9375,318589.34375,299875.3125
1216097.528333,305437.3125,312206.6875,318713.90625,300372.78125
1216097.5283446,305280.5,312111.71875,318535.25,300209.78125
1216097.5310326,304947.0,312339.09375,318319.6875,299637.9375
1216097.5346612,304871.46875,312540.6875,318312.625,299396.71875
1216097.5433865,305179.8125,312469.09375,318579.0625,299881.75
1216097.5477636,305407.46875,312181.28125,318698.96875,300373.65625
1216097.5478083,305256.71875,312091.15625,318522.5625,300212.90625
1216097.5560408,304928.40625,312322.5625,318309.78125,299639.46875
1216097.5602117,304853.5,312524.59375,318301.90625,299392.4375
1216097.5602549,305164.90625,312453.25,318570.3125,299874.9375
1216097.562157,305401.90625,312177.09375,318699.78125,300373.3125
1216097.5758767,305240.71875,312077.21875,318515.875,300204.875
1216097.5790924,304920.09375,312315.125,318310.59375,299641.15625
1216097.579138,304850.4375,312524.34375,318305.5,299398.15625
1216097.5809086,305166.6875,312460.25,318571.28125,299877.1875
1216097.5846214,305402.4375,312184.15625,318699.59375,300375.375
1216097.5939904,305246.6875,312090.1875,318521.6875,300213.09375
1216097.5940346,304922.34375,312323.625,318311.9375,299642.9375
1216097.5960249,304862.15625,312542.84375,318316.03125,299404.40625
1216097.6071287,305176.25,312477.125,318581.40625,299879.875
1216097.6101994,305412.65625,312195.3125,318707.5625,300374.28125
1216097.6102433,305253.5,312088.3125,318521.21875,300204.0625
1216097.6121724,304934.03125,312326.46875,318312.5625,299635.0625
1216097.6210277,304864.5625,312536.84375,318306.1875,299389.125
1216097.6250921,305170.09375,312464.0,318562.71875,299861.1875
1216097.6251355,305407.8125,312182.34375,318691.53125,300362.5625
1216097.632186,305252.5,312084.09375,318511.3125,300198.59375
1216097.634673,304926.4375,312318.71875,318301.5625,299626.5
1216097.6385207,304858.84375,312530.96875,318299.5,299384.8125
1216097.6501996,305177.40625,312471.40625,318573.875,299871.71875
1216097.6502431,305413.53125,312190.125,318701.75,300371.0625
1216097.6527409,305250.53125,312082.125,318516.03125,300206.28125
1216097.6527851,304929.84375,312321.3125,318307.28125,299638.75
1216097.6545937,304864.5,312537.21875,318305.65625,299398.21875
1216097.6635313,305175.1875,312466.59375,318568.96875,299875.125
1216097.6677617,305414.78125,312188.09375,318700.21875,300377.78125
1216097.6678062,305260.75,312090.375,318524.625,300217.5625
1216097.6758729,304945.59375,312336.84375,318324.875,299654.75
1216097.6789908,304882.0,312555.53125,318326.84375,299413.0
1216097.6790352,305185.90625,312480.4375,318581.9375,299881.375
1216097.6923077,305428.1875,312202.125,318710.78125,300381.0
1216097.6952624,305277.375,312102.59375,318530.625,300216.5
1216097.6953058,304956.65625,312338.03125,318321.75,299648.3125
1216097.6971071,304887.28125,312551.34375,318314.4375,299399.5
1216097.6996702,305197.09375,312484.28125,318574.59375,299872.8125
1216097.7060122,305451.1875,312217.6875,318716.9375,300387.15625
1216097.7102146,305290.5,312103.9375,318530.78125,300219.625
1216097.7102577,304962.65625,312331.9375,318315.78125,299646.6875
1216097.7134269,304885.6875,312542.03125,318308.15625,299394.75
1216097.7271114,305189.125,312470.96875,318570.84375,299870.40625
1216097.730209,305431.3125,312195.21875,318707.0,300379.125
1216097.7302465,305282.03125,312096.34375,318529.28125,300221.03125
1216097.7318867,304965.15625,312334.96875,318320.875,299651.625
1216097.7383762,304899.4375,312550.09375,318319.0625,299404.125
1216097.7409211,305212.1875,312486.78125,318588.0,299881.84375
1216097.7502215,305457.4375,312217.75,318728.125,300395.65625
1216097.7502781,305297.9375,312112.1875,318547.5,300234.46875
1216097.752171,304960.40625,312331.75,318325.15625,299655.46875
1216097.7559242,304886.125,312542.21875,318316.21875,299404.40625
1216097.7852676,305197.25,312480.34375,318583.53125,299882.28125
1216097.7853118,305431.96875,312199.53125,318713.8125,300384.3125
1216097.7872428,305274.15625,312096.875,318534.28125,300223.71875
1216097.7896907,304950.0625,312330.59375,318324.625,299652.5
1216097.7921746,304885.59375,312552.40625,318324.1875,299406.1875
1216097.7946685,305202.4375,312493.40625,318592.03125,299884.875
1216097.7972607,305435.1875,312204.8125,318712.28125,300375.90625
1216097.7996636,305279.0625,312097.0625,318527.65625,300212.90625
1216097.8021387,304959.34375,312334.4375,318318.09375,299647.3125
